Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count
2024-01-07,13,0.534,0.079,0.0,0.387,2.0,1.0,0.0,2.0
2024-01-07,14,0.0,0.0,0.236,0.764,0.0,0.0,2.0,3.0
2024-01-07,15,0.616,0.118,0.0,0.266,1.0,1.0,0.0,1.0
2024-01-07,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-07,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-07,18,0.846,0.0,0.0,0.154,1.0,0.0,0.0,1.0
2024-01-07,19,0.0,0.0,0.393,0.607,0.0,0.0,1.0,2.0
2024-01-07,20,0.0,0.0,0.315,0.685,0.0,0.0,1.0,2.0
2024-01-07,21,0.439,0.0,0.0,0.561,1.0,0.0,0.0,1.0
2024-01-07,22,0.725,0.0,0.0,0.275,2.0,0.0,0.0,1.0
2024-01-07,23,0.056,0.0,0.079,0.866,1.0,0.0,1.0,2.0
2024-01-08,0,0.0,0.0,0.511,0.489,0.0,0.0,1.0,2.0
2024-01-08,1,0.466,0.0,0.0,0.534,1.0,0.0,0.0,1.0
2024-01-08,2,0.125,0.0,0.246,0.63,1.0,0.0,2.0,1.0
2024-01-08,3,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0
2024-01-08,4,0.0,0.157,0.685,0.157,0.0,1.0,2.0,1.0
2024-01-08,5,0.0,0.0,0.41,0.59,0.0,0.0,3.0,2.0
2024-01-08,6,0.39,0.118,0.413,0.079,1.0,1.0,1.0,1.0
2024-01-08,7,0.711,0.0,0.118,0.17,2.0,0.0,2.0,1.0
2024-01-08,8,0.079,0.079,0.462,0.38,2.0,1.0,2.0,2.0
2024-01-08,9,0.164,0.118,0.6,0.118,1.0,1.0,3.0,2.0
2024-01-08,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-08,11,0.921,0.0,0.079,0.0,1.0,0.0,1.0,0.0
2024-01-08,12,0.489,0.0,0.039,0.472,1.0,0.0,1.0,1.0
2024-01-08,13,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0
2024-01-08,14,0.125,0.0,0.275,0.6,2.0,0.0,2.0,3.0
2024-01-08,15,0.341,0.039,0.157,0.462,1.0,1.0,1.0,2.0
2024-01-08,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-08,17,0.823,0.02,0.118,0.039,2.0,1.0,2.0,1.0
2024-01-08,18,0.275,0.216,0.233,0.275,2.0,1.0,3.0,2.0
2024-01-08,19,0.393,0.0,0.37,0.236,3.0,0.0,4.0,1.0
2024-01-08,20,0.354,0.0,0.095,0.551,1.0,0.0,2.0,1.0
2024-01-08,21,0.0,0.0,0.528,0.472,0.0,0.0,2.0,1.0
2024-01-08,22,0.062,0.0,0.151,0.787,1.0,0.0,1.0,1.0
2024-01-08,23,0.921,0.0,0.079,0.0,1.0,0.0,1.0,1.0
2024-01-09,0,0.0,0.0,0.174,0.826,0.0,0.0,2.0,1.0
2024-01-09,1,0.0,0.0,0.416,0.584,0.0,0.0,1.0,1.0
