Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,activity_level,activity_level_2,Nivel_estres_1,Nivel_estres_2
2024-07-04,15,0.105,0.0,0.511,0.384,1.0,0.0,2.0,3.0,-0.2220757185465562,-0.799611233654023,normal,normal
2024-07-04,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-04,17,0.98,0.0,0.02,0.0,1.0,0.0,1.0,0.0,0.3461370852529889,-0.0168918691515386,normal,normal
2024-07-04,18,0.941,0.0,0.059,0.0,1.0,0.0,1.0,0.0,0.3086967531772361,-0.0168918691515386,normal,normal
2024-07-04,19,0.79,0.0,0.0,0.21,1.0,0.0,0.0,1.0,0.3123731648172503,-0.1220231703362225,normal,normal
2024-07-04,20,0.0,0.0,0.079,0.921,0.0,0.0,2.0,4.0,0.0572112135331792,-1.1215133961613843,normal,normal
2024-07-04,21,0.0,0.0,0.433,0.567,0.0,0.0,1.0,2.0,-0.1933494763177761,-0.5607566980806922,normal,normal
2024-07-04,22,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0,-0.3044738500652337,-0.5607566980806922,normal,normal
2024-07-04,23,0.0,0.0,0.039,0.961,1.0,0.0,1.0,2.0,0.0855231558892194,-0.4608172019951227,normal,normal
2024-07-05,0,0.039,0.0,0.59,0.37,1.0,0.0,2.0,2.0,-0.2947507890863065,-0.5776485672322309,normal,normal
2024-07-05,1,0.433,0.0,0.151,0.416,1.0,0.0,1.0,1.0,0.1154566281805045,-0.2388545355733307,normal,normal
2024-07-05,2,0.0,0.0,0.203,0.797,0.0,0.0,1.0,1.0,-0.0305558077705452,-0.3387940316589002,normal,normal
2024-07-05,3,0.393,0.0,0.577,0.03,2.0,0.0,2.0,1.0,-0.1961539561457986,-0.2557464047248693,normal,normal
2024-07-05,4,0.0,0.0,0.21,0.79,0.0,0.0,1.0,1.0,-0.0355103976828522,-0.3387940316589002,normal,normal
2024-07-05,5,0.157,0.0,0.61,0.233,1.0,0.0,2.0,1.0,-0.2790328581729374,-0.3556859008104389,normal,normal
2024-07-05,6,0.0,0.0,0.649,0.351,0.0,0.0,1.0,1.0,-0.346233965040393,-0.3387940316589002,normal,normal
2024-07-05,7,0.682,0.0,0.079,0.239,1.0,0.0,1.0,1.0,0.229218403430987,-0.2388545355733307,normal,normal
2024-07-05,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-05,9,0.639,0.0,0.361,0.0,1.0,0.0,1.0,0.0,0.0187741817188426,-0.0168918691515386,normal,normal
2024-07-05,10,0.22,0.0,0.348,0.433,1.0,0.0,1.0,1.0,-0.077587281221889,-0.2388545355733307,normal,normal
2024-07-05,11,0.646,0.0,0.157,0.197,1.0,0.0,1.0,1.0,0.1649305574256807,-0.2388545355733307,normal,normal
2024-07-05,12,0.607,0.0,0.0,0.393,1.0,0.0,0.0,1.0,0.2662187428945247,-0.1220231703362225,normal,normal
2024-07-05,13,0.849,0.079,0.072,0.0,1.0,1.0,1.0,0.0,0.2681330479868096,1.662268752541537,normal,normal
2024-07-05,14,0.0,0.0,0.37,0.63,0.0,0.0,3.0,2.0,-0.1487581671070129,-0.7944194285549087,normal,normal
2024-07-05,15,0.0,0.0,0.292,0.708,0.0,0.0,2.0,1.0,-0.0935498795127346,-0.4556253968960084,normal,normal
2024-07-05,16,0.908,0.0,0.092,0.0,1.0,0.0,1.0,0.0,0.2770164721900607,-0.0168918691515386,normal,normal
2024-07-05,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-05,18,0.803,0.0,0.197,0.0,2.0,0.0,1.0,0.0,0.176215578139957,0.0830476269340308,normal,normal
2024-07-05,19,0.725,0.039,0.236,0.0,3.0,1.0,1.0,0.0,0.1249111930839276,1.862147744712676,normal,normal
2024-07-05,20,0.262,0.0,0.738,0.0,2.0,0.0,2.0,0.0,-0.3431490283467677,-0.0337837383030773,normal,normal
2024-07-05,21,0.046,0.0,0.443,0.511,1.0,0.0,1.0,1.0,-0.1888258039371393,-0.2388545355733307,normal,normal
2024-07-05,22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-05,23,0.646,0.0,0.197,0.157,3.0,0.0,2.0,1.0,0.1366186150696405,-0.1558069086392998,normal,normal
2024-07-07,0,0.0,0.0,0.489,0.511,0.0,0.0,2.0,1.0,-0.2329861956162324,-0.4556253968960084,normal,normal
2024-07-07,1,0.0,0.0,0.298,0.702,0.0,0.0,1.0,1.0,-0.0977966708661406,-0.3387940316589002,normal,normal
2024-07-07,2,0.0,0.0,0.826,0.174,0.0,0.0,1.0,2.0,-0.4715143099658707,-0.5607566980806922,normal,normal
2024-07-07,3,0.0,0.0,0.341,0.659,0.0,0.0,2.0,2.0,-0.1282320088988838,-0.6775880633178004,normal,normal
2024-07-07,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5946712592146455,-0.1168313652371081,normal,normal
2024-07-07,5,0.157,0.0,0.725,0.118,1.0,0.0,2.0,1.0,-0.3604296924465529,-0.3556859008104389,normal,normal
2024-07-07,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5946712592146455,-0.1168313652371081,normal,normal
2024-07-07,7,0.407,0.0,0.2,0.393,1.0,0.0,1.0,1.0,0.0742170399419462,-0.2388545355733307,normal,normal
2024-07-07,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-07,9,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0,0.3514732025679702,1.8790396138642147,normal,normal
2024-07-07,10,0.764,0.0,0.236,0.0,2.0,0.0,1.0,0.0,0.1387752460642042,0.0830476269340308,normal,normal
2024-07-07,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-07,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-07,13,0.252,0.0,0.118,0.63,2.0,0.0,2.0,1.0,0.0931639786132359,-0.2557464047248693,normal,normal
2024-07-07,14,0.007,0.0,0.482,0.511,1.0,0.0,3.0,2.0,-0.2262661360128921,-0.6944799324693391,normal,normal
2024-07-07,15,0.42,0.0,0.305,0.275,1.0,0.0,1.0,1.0,0.0031769206835454,-0.2388545355733307,normal,normal
2024-07-07,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-07,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-07,18,0.843,0.157,0.0,0.0,2.0,1.0,0.0,0.0,0.3095255550891846,1.8790396138642147,normal,normal
2024-07-07,19,0.672,0.0,0.039,0.289,1.0,0.0,1.0,1.0,0.2550082462284083,-0.2388545355733307,normal,normal
2024-07-07,20,0.0,0.0,0.502,0.498,0.0,0.0,1.0,1.0,-0.2421875768819454,-0.3387940316589002,normal,normal
2024-07-07,21,0.039,0.0,0.449,0.511,1.0,0.0,4.0,2.0,-0.1949511922812649,-0.8113112977064473,normal,normal
2024-07-07,22,0.0,0.0,0.151,0.849,0.0,0.0,1.0,1.0,0.0062497172923069,-0.3387940316589002,normal,normal
2024-07-07,23,0.433,0.0,0.315,0.252,1.0,0.0,2.0,1.0,-0.00062233547926,-0.3556859008104389,normal,normal
2024-07-08,0,0.354,0.0,0.197,0.449,1.0,0.0,1.0,1.0,0.0629733079579692,-0.2388545355733307,normal,normal
2024-07-08,1,0.19,0.0,0.0,0.81,1.0,0.0,0.0,1.0,0.1610471913001173,-0.1220231703362225,normal,normal
2024-07-08,2,0.479,0.0,0.236,0.285,1.0,0.0,1.0,1.0,0.066895408643566,-0.2388545355733307,normal,normal
2024-07-08,3,0.0,0.0,0.511,0.489,0.0,0.0,2.0,3.0,-0.2485577639120544,-0.8995507297395925,normal,normal
2024-07-08,4,0.079,0.039,0.2,0.682,1.0,1.0,1.0,1.0,-0.012535690282416,1.440306086119745,normal,normal
2024-07-08,5,0.039,0.0,0.548,0.413,1.0,0.0,2.0,1.0,-0.264910122312778,-0.3556859008104389,normal,normal
2024-07-08,6,0.0,0.0,0.351,0.649,0.0,0.0,2.0,2.0,-0.1353099944878938,-0.6775880633178004,normal,normal
2024-07-08,7,0.839,0.0,0.161,0.0,1.0,0.0,1.0,0.0,0.2107758846714211,-0.0168918691515386,normal,normal
2024-07-08,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-08,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-08,10,0.308,0.0,0.551,0.141,1.0,0.0,1.0,1.0,-0.1991890398626331,-0.2388545355733307,normal,normal
2024-07-08,11,0.669,0.0,0.118,0.213,2.0,0.0,2.0,1.0,0.1983355302076433,-0.2557464047248693,normal,normal
2024-07-08,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-08,13,0.141,0.0,0.197,0.662,1.0,0.0,1.0,1.0,0.009252587359387,-0.2388545355733307,normal,normal
2024-07-08,14,0.079,0.236,0.6,0.085,1.0,2.0,2.0,1.0,-0.3160009945153202,3.0026353425757124,normal,normal
2024-07-08,15,0.0,0.0,0.226,0.774,0.0,0.0,3.0,3.0,-0.0468351746252683,-1.0163820949767006,normal,normal
2024-07-08,16,0.672,0.0,0.236,0.092,1.0,0.0,1.0,1.0,0.1155719301249105,-0.2388545355733307,normal,normal
