Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad
2024-01-04,22,0.0,0.0,0.567,0.433,0.0,0.0,3.0,2.0,-0.27911993782113176
2024-01-04,23,0.0,0.0,0.843,0.157,0.0,0.0,2.0,1.0,-0.480164699566834
2024-01-05,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1338959314173218
2024-01-05,1,0.0,0.0,0.977,0.023,0.0,0.0,1.0,1.0,-0.5777733882404721
2024-01-05,2,0.118,0.0,0.793,0.089,1.0,0.0,2.0,1.0,-0.4295672558333709
2024-01-05,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1338959314173218
2024-01-05,4,0.0,0.0,0.944,0.056,0.0,0.0,1.0,2.0,-0.5537354275969643
2024-01-05,5,0.039,0.079,0.256,0.626,1.0,1.0,1.0,1.0,-0.038475287750126666
2024-01-05,6,0.0,0.0,0.885,0.115,0.0,0.0,1.0,1.0,-0.5107584676585714
2024-01-05,7,0.564,0.039,0.197,0.2,2.0,1.0,2.0,2.0,0.06280468748406912
2024-01-05,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-05,9,0.561,0.0,0.157,0.282,1.0,0.0,1.0,1.0,0.08693096503457423
2024-01-05,10,0.574,0.0,0.118,0.308,1.0,0.0,1.0,1.0,0.11690125877489238
2024-01-05,11,0.843,0.0,0.157,0.0,1.0,0.0,1.0,0.0,0.12080989834483292
2024-01-05,12,0.134,0.0,0.079,0.787,1.0,0.0,2.0,2.0,0.09244901070830562
2024-01-05,13,0.259,0.157,0.354,0.23,1.0,1.0,1.0,1.0,-0.07412991261144197
2024-01-05,14,0.0,0.0,0.551,0.449,0.0,0.0,1.0,2.0,-0.26746516902427947
2024-01-05,15,0.852,0.079,0.0,0.069,1.0,1.0,0.0,1.0,0.24567325690461772
2024-01-05,16,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0,0.25399883866471984
2024-01-05,17,0.193,0.807,0.0,0.0,2.0,2.0,0.0,0.0,0.25330657259214406
2024-01-05,18,0.0,0.649,0.039,0.311,0.0,1.0,1.0,1.0,0.18273813749487436
2024-01-05,19,0.0,0.0,0.511,0.489,0.0,0.0,1.0,2.0,-0.23832824703214872
2024-01-05,20,0.0,0.0,0.069,0.931,0.0,0.0,1.0,1.0,0.08363474098089624
2024-01-05,21,0.0,0.0,0.521,0.479,0.0,0.0,1.0,1.0,-0.2456124775301814
2024-01-05,22,0.0,0.0,0.574,0.426,0.0,0.0,1.0,1.0,-0.2842188991697546
2024-01-05,23,0.0,0.0,0.134,0.866,0.0,0.0,2.0,2.0,0.03628724274368374
2024-01-06,0,0.0,0.0,0.551,0.449,0.0,0.0,1.0,1.0,-0.26746516902427947
2024-01-06,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1338959314173218
2024-01-06,2,0.0,0.0,0.875,0.125,0.0,0.0,1.0,1.0,-0.5034742371605386
2024-01-06,3,0.0,0.0,0.659,0.341,0.0,0.0,2.0,2.0,-0.34613485840303254
2024-01-06,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1338959314173218
2024-01-06,5,0.0,0.0,0.728,0.272,0.0,0.0,1.0,1.0,-0.39639604883945806
2024-01-06,6,0.157,0.079,0.725,0.039,2.0,1.0,3.0,1.0,-0.36592940686456016
2024-01-06,7,0.367,0.0,0.082,0.551,1.0,0.0,1.0,2.0,0.1182559098613436
2024-01-06,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-06,9,0.6,0.0,0.118,0.282,1.0,0.0,1.0,1.0,0.12002484837087368
2024-01-06,10,0.0,0.0,0.692,0.308,0.0,0.0,1.0,1.0,-0.3701728190465404
2024-01-06,11,0.669,0.0,0.331,0.0,1.0,0.0,1.0,0.0,-0.026839735001733804
2024-01-06,12,0.748,0.0,0.157,0.095,2.0,0.0,2.0,1.0,0.1093967825133628
2024-01-06,13,0.118,0.0,0.308,0.574,1.0,0.0,2.0,1.0,-0.07628207667878535
2024-01-06,14,0.039,0.0,0.4,0.561,1.0,0.0,2.0,1.0,-0.15278790411001392
2024-01-06,15,0.852,0.039,0.0,0.108,2.0,1.0,0.0,1.0,0.24076989404245785
2024-01-06,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-06,17,0.115,0.885,0.0,0.0,1.0,1.0,0.0,0.0,0.2532362643191481
2024-01-06,18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2531326046858848
2024-01-06,19,0.0,0.2,0.0,0.8,0.0,1.0,0.0,1.0,0.15774326607103442
2024-01-06,20,0.0,0.0,0.472,0.528,0.0,0.0,1.0,2.0,-0.20991974808982122
2024-01-06,21,0.0,0.0,0.4,0.6,0.0,0.0,1.0,1.0,-0.15747328850398584
2024-01-06,22,0.0,0.0,0.292,0.708,0.0,0.0,2.0,1.0,-0.07880359912523277
2024-01-06,23,0.0,0.0,0.764,0.236,0.0,0.0,2.0,1.0,-0.4226192786323758
2024-01-07,0,0.0,0.0,0.37,0.63,0.0,0.0,1.0,1.0,-0.13562059700988777
2024-01-07,1,0.0,0.0,0.534,0.466,0.0,0.0,1.0,1.0,-0.25508197717762393
2024-01-07,2,0.0,0.0,0.521,0.479,0.0,0.0,1.0,1.0,-0.2456124775301814
2024-01-07,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473
2024-01-07,4,0.0,0.0,0.489,0.511,0.0,0.0,2.0,1.0,-0.22230293993647676
2024-01-07,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473
2024-01-07,6,0.118,0.039,0.767,0.075,2.0,1.0,3.0,2.0,-0.40611192221242925
2024-01-07,7,0.525,0.0,0.0,0.475,1.0,0.0,0.0,1.0,0.19696841364386725
2024-01-07,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-07,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-07,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-07,11,0.607,0.0,0.0,0.393,2.0,0.0,0.0,1.0,0.2068197346773467
2024-01-07,12,0.039,0.961,0.0,0.0,1.0,1.0,0.0,0.0,0.25316775882238274
2024-01-07,13,0.197,0.574,0.19,0.039,1.0,1.0,2.0,1.0,0.08760460050348334
2024-01-07,14,0.0,0.0,0.321,0.679,0.0,0.0,2.0,2.0,-0.09992786756952757
2024-01-07,15,0.538,0.0,0.118,0.344,2.0,0.0,1.0,1.0,0.11257628856507215
2024-01-07,16,0.485,0.515,0.0,0.0,1.0,1.0,0.0,0.0,0.25356977792182134
2024-01-07,17,0.393,0.607,0.0,0.0,3.0,4.0,0.0,0.0,0.25348685021521067
2024-01-07,18,0.0,0.846,0.0,0.154,0.0,1.0,0.0,1.0,0.23477015700252607
2024-01-07,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1338959314173218
2024-01-07,20,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0,-0.2958736679666069
2024-01-07,21,0.0,0.0,0.63,0.37,0.0,0.0,1.0,2.0,-0.32501058995873777
2024-01-07,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1338959314173218
2024-01-07,23,0.0,0.0,0.59,0.41,0.0,0.0,1.0,3.0,-0.2958736679666069
2024-01-08,0,0.0,0.0,0.489,0.511,0.0,0.0,2.0,2.0,-0.22230293993647676
2024-01-08,1,0.0,0.0,0.889,0.111,0.0,0.0,1.0,1.0,-0.5136721598577844
2024-01-08,2,0.0,0.0,0.669,0.331,0.0,0.0,1.0,2.0,-0.35341908890106527
2024-01-08,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1338959314173218
2024-01-08,4,0.0,0.118,0.633,0.249,0.0,1.0,2.0,1.0,-0.3131259316624571
2024-01-08,5,0.0,0.0,0.961,0.039,0.0,0.0,2.0,1.0,-0.5661186194436197
2024-01-08,6,0.39,0.0,0.413,0.197,1.0,0.0,1.0,1.0,-0.12008894421170888
2024-01-08,7,0.672,0.0,0.328,0.0,1.0,0.0,1.0,0.0,-0.02429405166817231
2024-01-08,8,0.079,0.118,0.341,0.462,1.0,1.0,3.0,3.0,-0.09093549427057475
2024-01-08,9,0.164,0.039,0.787,0.01,2.0,1.0,1.0,1.0,-0.4150201364534181
2024-01-08,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-08,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-08,12,0.197,0.0,0.669,0.134,1.0,0.0,1.0,1.0,-0.32975189080843775
2024-01-08,13,0.426,0.079,0.039,0.456,2.0,1.0,1.0,1.0,0.1660859438127505
2024-01-08,14,0.125,0.0,0.197,0.679,2.0,0.0,2.0,2.0,0.005547744210482125
2024-01-08,15,0.302,0.0,0.0,0.698,1.0,0.0,0.0,1.0,0.17017762595525843
2024-01-08,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-08,17,0.508,0.275,0.216,0.0,3.0,1.0,2.0,0.0,0.07024287706027237
2024-01-08,18,0.63,0.0,0.37,0.0,1.0,0.0,2.0,0.0,-0.05993361833803325
2024-01-08,19,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473
2024-01-08,20,0.0,0.0,0.528,0.472,0.0,0.0,3.0,2.0,-0.25071143887880426
2024-01-08,21,0.354,0.0,0.41,0.236,1.0,0.0,2.0,1.0,-0.1222286452721193
2024-01-08,22,0.338,0.0,0.111,0.551,1.0,0.0,2.0,1.0,0.09364763763691582
2024-01-08,23,0.252,0.0,0.157,0.59,1.0,0.0,1.0,2.0,0.04967440813553303
2024-01-09,0,0.016,0.0,0.63,0.354,1.0,0.0,1.0,1.0,-0.32308838097659537
2024-01-09,1,0.849,0.0,0.033,0.118,1.0,0.0,1.0,1.0,0.21185518488874167
2024-01-09,2,0.0,0.0,0.489,0.511,0.0,0.0,2.0,1.0,-0.22230293993647676
2024-01-09,3,0.0,0.0,0.803,0.197,0.0,0.0,3.0,2.0,-0.4510277775747033
2024-01-09,4,0.0,0.0,0.803,0.197,0.0,0.0,3.0,2.0,-0.4510277775747033
2024-01-09,5,0.0,0.079,0.862,0.059,0.0,1.0,3.0,2.0,-0.48458504032487965
2024-01-09,6,0.311,0.039,0.039,0.61,2.0,1.0,1.0,1.0,0.14736670389144263
2024-01-09,7,0.711,0.0,0.289,0.0,1.0,0.0,1.0,0.0,0.008799831668127119
2024-01-09,8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473
2024-01-09,9,0.833,0.0,0.167,0.0,1.0,0.0,1.0,0.0,0.11232428723296126
2024-01-09,10,0.387,0.0,0.613,0.0,1.0,0.0,1.0,0.0,-0.26613396835651437
2024-01-09,11,0.63,0.0,0.37,0.0,1.0,0.0,1.0,0.0,-0.05993361833803325
2024-01-09,12,0.944,0.0,0.0,0.056,1.0,0.0,0.0,1.0,0.24730626136371966
2024-01-09,13,0.23,0.0,0.433,0.338,1.0,0.0,1.0,1.0,-0.1537455990977803
2024-01-09,14,0.449,0.079,0.039,0.433,3.0,1.0,1.0,1.0,0.16884911922458012
2024-01-09,15,0.069,0.0,0.354,0.577,1.0,0.0,1.0,1.0,-0.11567630197754661
2024-01-09,16,0.354,0.475,0.0,0.17,2.0,2.0,0.0,1.0,0.23292832901837107
2024-01-09,17,0.157,0.528,0.197,0.118,1.0,2.0,1.0,2.0,0.0722152297291507
2024-01-09,18,0.233,0.649,0.0,0.118,2.0,1.0,0.0,1.0,0.23927270067106693
2024-01-09,19,0.082,0.0,0.289,0.63,1.0,0.0,3.0,3.0,-0.06663311301092614
2024-01-09,20,0.0,0.0,0.852,0.148,0.0,0.0,1.0,1.0,-0.4867205070150634
2024-01-09,21,0.0,0.0,0.007,0.993,0.0,0.0,1.0,1.0,0.12879697006869892
2024-01-09,22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473
2024-01-09,23,0.0,0.0,0.843,0.157,0.0,0.0,1.0,2.0,-0.480164699566834
2024-01-10,0,0.0,0.0,0.236,0.764,0.0,0.0,2.0,3.0,-0.03801190833624969
2024-01-10,1,0.0,0.0,0.859,0.141,0.0,0.0,2.0,2.0,-0.4918194683636864
2024-01-10,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473
2024-01-10,3,0.0,0.0,0.921,0.079,0.0,0.0,2.0,1.0,-0.536981697451489
2024-01-10,4,0.0,0.0,0.961,0.039,0.0,0.0,3.0,1.0,-0.5661186194436197
2024-01-10,5,0.039,0.0,0.685,0.275,1.0,0.0,2.0,1.0,-0.3605223692353629
2024-01-10,6,0.272,0.0,0.61,0.118,1.0,0.0,1.0,1.0,-0.27776457626625256
2024-01-10,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-10,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-10,9,0.167,0.0,0.0,0.833,1.0,0.0,0.0,1.0,0.15395898766843247
2024-01-10,10,0.889,0.0,0.0,0.111,1.0,0.0,0.0,1.0,0.24069866798760542
2024-01-10,11,0.37,0.0,0.0,0.63,2.0,0.0,0.0,1.0,0.17834701412936335
