Fecha,Class,Ancho,H.N,H
2024-01-05,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-05,period rumination,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-05,period resting,7,0.2754098360655738,0 days 00:16:31.475000
2024-01-05,period eating,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-05,period other,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-05,period eating,54,2.1245901639344265,0 days 02:07:28.525000
2024-01-05,period resting,18,0.7081967213114755,0 days 00:42:29.508000
2024-01-05,period rumination,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-05,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-05,period rumination,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-05,period eating,13,0.5114754098360657,0 days 00:30:41.311000
2024-01-05,period other,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-05,period eating,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-05,period other,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-05,period eating,46,1.8098360655737706,0 days 01:48:35.410000
2024-01-05,period other,7,0.2754098360655738,0 days 00:16:31.475000
2024-01-05,period resting,6,0.2360655737704918,0 days 00:14:09.836000
2024-01-05,period rumination,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-05,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-05,period rumination,8,0.31475409836065577,0 days 00:18:53.115000
2024-01-05,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-05,period rumination,22,0.8655737704918034,0 days 00:51:56.066000
2024-01-05,period eating,82,3.2262295081967216,0 days 03:13:34.426000
2024-01-05,period other,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-05,period resting,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-05,period rumination,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-05,period resting,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-05,period rumination,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-05,period resting,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-05,period rumination,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-05,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-05,period rumination,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-05,period other,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-05,period rumination,16,0.6295081967213115,0 days 00:37:46.230000
2024-01-05,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-05,period rumination,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-05,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-05,period rumination,9,0.35409836065573774,0 days 00:21:14.754000
2024-01-05,period resting,21,0.8262295081967214,0 days 00:49:34.426000
2024-01-05,period rumination,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-05,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-05,period eating,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-05,period resting,9,0.35409836065573774,0 days 00:21:14.754000
2024-01-05,period rumination,9,0.35409836065573774,0 days 00:21:14.754000
2024-01-05,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-05,period rumination,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-05,period resting,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-05,period rumination,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-05,period resting,9,0.35409836065573774,0 days 00:21:14.754000
2024-01-05,period rumination,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-05,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-05,period eating,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-05,period resting,12,0.4721311475409836,0 days 00:28:19.672000
2024-01-06,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-06,period rumination,23,0.9049180327868853,0 days 00:54:17.705000
2024-01-06,period resting,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-06,period eating,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-06,period resting,21,0.8262295081967214,0 days 00:49:34.426000
2024-01-06,period rumination,17,0.6688524590163935,0 days 00:40:07.869000
2024-01-06,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-06,period rumination,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-06,period resting,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-06,period rumination,6,0.2360655737704918,0 days 00:14:09.836000
2024-01-06,period resting,10,0.3934426229508197,0 days 00:23:36.393000
2024-01-06,period eating,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-06,period resting,20,0.7868852459016394,0 days 00:47:12.787000
2024-01-06,period rumination,22,0.8655737704918034,0 days 00:51:56.066000
2024-01-06,period eating,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-06,period resting,16,0.6295081967213115,0 days 00:37:46.230000
2024-01-06,period eating,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-06,period resting,22,0.8655737704918034,0 days 00:51:56.066000
2024-01-06,period rumination,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-06,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-06,period rumination,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-06,period resting,9,0.35409836065573774,0 days 00:21:14.754000
2024-01-06,period eating,66,2.59672131147541,0 days 02:35:48.197000
2024-01-06,period resting,19,0.7475409836065574,0 days 00:44:51.148000
